STATE,MURDER,MAN SLAUGHTER,ATTEMPTED MURDER,SUICIDE,ATTEMPTED SUICIDE,ASSAULT,CHILD STEALING,RAPE & INDICENT ASSAULT,KIDNAPPING,UNNATURAL OFFENCE,OTHER OFFENCE,OFFENCES AGAINST PERSONS
ABUJA,91,3,    ,2,    ,217,3,132,49,41,216,1183
AKWA IBOM,81,5,78,    ,    ,341,52,83,11,4,    ,702
ANAMBRA,41,    ,    ,2,    ,    ,    ,    ,    ,    ,    ,127
ABIA,97,6,69,6,    ,8945,68,98,104,182,117,9816
ADAMAWA,114,    ,89,4,    ,68,    ,24,9,5,372,811
BAUCHI,58,    ,1,    ,    ,3,    ,33,44,3,41,196
BENUE,51,3,6,3,2,76,45,23,67,9,56,431
BORNO,123,48,12,45,3,39,    ,97,2,45,194,681
BAYELSA,30,    ,19,15,1,187,4,88,53,2,182,612
CROSS RIVER,87,    ,22,    ,    ,347,6,65,31,8,335,949
DELTA,117,2,21,13,    ,1895,9,93,49,141,645,3310
EBONYI,204,12,13,4,    ,87,6,44,98,26,91,1275
EDO,187,5,98,3,54,3,8,10,2,85,80,729
ENUGU,40,4,31,    ,    ,621,4,32,25,1,105,935
GOMBE,73,    ,1,1,2,44,    ,52,10,4,110,408
EKITI,78,4,78,2,8,11,    ,51,3,11,109,427
IMO,52,    ,43,    ,    ,184,    ,23,33,    ,520,893
JIGAWA,62,    ,4,2,    ,28,    ,83,5,15,90,345
KADUNA,128,    ,    ,    ,    ,26,    ,95,64,25,    ,385
KANO,124,    ,3,4,1,414,    ,237,43,97,727,2102
KATSINA,52,5,25,23,2,150,15,2,30,58,208,602
KEBBI,55,    ,    ,    ,    ,    ,    ,15,8,3,    ,88
KOGI,76,    ,13,    ,    ,    ,    ,11,46,    ,    ,146
KWARA,78,    ,12,3,1,14,3,16,10,2,85,279
LAGOS,216,11,43,47,5,8236,65,441,98,269,2931,18926
NIGER,121,    ,3,2,1,65,1,41,30,8,197,564
NASARAWA,51,    ,10,3,    ,112,    ,31,10,5,82,466
OGUN,105,    ,14,20,4,150,4,43,15,7,68,518
ONDO,108,    ,17,    ,    ,686,12,27,22,2,301,1282
OYO,30,    ,1,10,    ,660,8,83,2,16,    ,1058
OSUN,25,    ,14,2,    ,144,1,2,15,7,19,318
PLATEAU,71,1,5,6,    ,68,    ,66,10,8,265,736
RIVERS,67,10,3,105,112,    ,31,5,82,29,    ,467
SOKOTO,55,    ,4,4,    ,115,    ,28,27,12,315,766
TARABA,115,    ,    ,1,    ,54,    ,30,14,2,176,550
YOBE,110,    ,    ,    ,    ,11,    ,51,3,11,109,367
ZAMFARA,44,    ,19,    ,    ,21,    ,23,9,10,9,169
RAILWAY,2,1,    ,1,    ,3,    ,1,1,11,2,22
